memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,1795,0.041303,363923,32049,42.0
128,cold,True,2103,0.039513,425723,36430,42.0
128,cold,True,2162,0.041371,435366,21200,43.0
128,cold,True,2140,0.040929,409291,36710,42.0
128,cold,True,2073,0.043788,385903,24400,42.0
256,warm,False,879,0.041104,76026,2220,42.0
256,warm,False,720,0.041269,73861,1940,42.0
256,warm,False,861,0.038449,75243,2060,42.0
256,warm,False,828,0.042758,78088,0,
256,warm,False,836,0.040888,73692,0,
256,cold,True,2234,0.040595,394067,18670,43.0
256,cold,True,2143,0.042856,464715,9020,42.0
256,cold,True,2149,0.040462,482865,4140,43.0
256,cold,True,2010,0.041057,378746,10560,42.0
256,cold,True,1799,0.039615,350182,3480,42.0
128,warm,False,863,0.040082,65953,2020,42.0
128,warm,False,868,0.042456,71853,2090,42.0
128,warm,False,851,0.041672,75286,2080,43.0
128,warm,False,843,0.040387,71187,2210,42.0
128,warm,False,886,0.042456,100915,28590,42.0
