memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
256,warm,False,6909284,0.053927,7001584,0,
256,warm,False,6887101,0.043688,6981191,0,
256,warm,False,6680434,0.050604,6805799,0,
256,warm,False,7071381,0.04534,7146652,0,
256,warm,False,6929216,0.044558,7020222,6948070,54.0
256,cold,True,6822518,0.040944,7213068,6859940,54.0
256,cold,True,7139438,0.041589,7508924,0,
256,cold,True,6949120,0.040357,7309854,6967330,54.0
256,cold,True,7181637,0.041827,7633909,7220030,54.0
256,cold,True,7051337,0.040059,7429410,0,
128,warm,False,14177828,0.044057,14302212,14235670,54.0
128,warm,False,13786729,0.045419,13874906,13788390,54.0
128,warm,False,14029941,0.039983,14124856,14056310,54.0
128,warm,False,14443496,0.042429,14545429,14481940,54.0
128,warm,False,13912630,0.041857,14012980,13933070,54.0
128,cold,True,14270060,0.047278,14816136,14309480,54.0
128,cold,True,14034298,0.045033,14499708,14073380,54.0
128,cold,True,14668640,0.044729,15053617,14671110,54.0
128,cold,True,14287592,0.045248,14725651,14345530,54.0
128,cold,True,14177099,0.041474,14560532,14179400,54.0
